iter	RMSE
0	0.5810249837
1	0.5486796685
2	0.5176730924
3	0.4889276053
4	0.4634764043
5	0.4390176022
6	0.4171679869
7	0.3977079754
8	0.3810316498
9	0.3645661637
10	0.3495089778
11	0.3357733578
12	0.3233090984
13	0.3131319262
14	0.3032749376
15	0.295467348
16	0.2867772839
17	0.2792725442
18	0.2719213246
19	0.2667525397
20	0.2613698986
21	0.2557588967
22	0.2504641197
23	0.2467063615
24	0.2433589088
25	0.2394930473
26	0.2368388613
27	0.2339609248
28	0.2314988343
29	0.2291595858
30	0.2268154282
31	0.224798605
32	0.2231470007
33	0.2215646967
34	0.2202262297
35	0.2191249419
36	0.2178483476
37	0.2165408367
38	0.215110211
39	0.2138511366
40	0.2123480639
41	0.2112643115
42	0.210203607
43	0.2091130037
44	0.2083457176
45	0.2069598183
46	0.2063121699
47	0.2056060757
48	0.2048130749
49	0.2037041122
50	0.2029508914
51	0.2024677429
52	0.2015430041
53	0.2005278203
54	0.1999452288
55	0.1989648631
56	0.1984549611
57	0.1979951575
58	0.1974776808
59	0.1970268723
60	0.1963657507
61	0.1959511103
62	0.1956766648
63	0.1947567156
64	0.1942556471
65	0.1937975796
66	0.1932567618
67	0.1926869965
68	0.1923027026
69	0.1920198817
70	0.1910893161
71	0.1907466955
72	0.1902506231
73	0.1898369582
74	0.1896740533
75	0.1894565798
76	0.1890097534
77	0.1883899687
78	0.1881944014
79	0.1875712252
80	0.1870189245
81	0.1867936502
82	0.1866240596
83	0.1862676739
84	0.1860979546
85	0.1858558951
86	0.1855696345
87	0.1853103882
88	0.1847109871
89	0.184171442
90	0.1836945487
91	0.1834576786
92	0.1831359513
93	0.1828430702
94	0.1826229268
95	0.1824744031
96	0.1822161071
97	0.1819620427
98	0.1809985161
99	0.1808596696
100	0.1807088107
101	0.1803239405
102	0.1800279807
103	0.179623446
104	0.1791750187
105	0.1790374444
106	0.1787909623
107	0.1784349807
108	0.1777874329
109	0.1773107013
110	0.1771811748
111	0.17678979
112	0.1765802092
113	0.1763856393
114	0.1761874828
115	0.1760367007
116	0.1757939292
117	0.1755066225
118	0.1753250168
119	0.1749261517
120	0.1744218028
121	0.1742836988
122	0.173499284
123	0.1733721387
124	0.173166221
125	0.1727837631
126	0.1725637519
127	0.1723575116
128	0.1722177813
129	0.1718582514
130	0.1717137815
131	0.1714724962
132	0.171352155
133	0.1708090939
134	0.1700473276
135	0.1696164712
136	0.1694314075
137	0.1691386366
138	0.1690363832
139	0.1685887205
140	0.1684874574
141	0.1682295737
142	0.1680585881
143	0.1678209538
144	0.1674948143
145	0.1672541908
146	0.1670215125
147	0.1667712814
148	0.1665723665
149	0.1663341364
