iter	Passed	Remaining
0	2	347
1	4	312
2	6	306
3	9	335
4	10	315
5	12	303
6	14	302
7	17	304
8	19	310
9	21	304
10	23	299
11	25	296
12	27	289
13	29	284
14	31	284
15	33	283
16	35	280
17	37	275
18	39	271
19	41	268
20	42	263
21	44	259
22	46	257
23	48	255
24	50	253
25	52	250
26	54	247
27	56	246
28	58	244
29	60	242
30	63	243
31	65	240
32	66	237
33	68	235
34	70	232
35	72	230
36	74	227
37	76	225
38	78	222
39	80	220
40	81	217
41	83	215
42	85	212
43	87	210
44	90	210
45	91	207
46	93	204
47	95	203
48	97	201
49	99	198
50	101	196
51	103	195
52	105	193
53	107	191
54	109	189
55	112	188
56	114	187
57	116	184
58	118	182
59	120	181
60	122	179
61	124	177
62	126	174
63	128	172
64	130	170
65	132	168
66	134	166
67	136	164
68	137	161
69	139	159
70	141	157
71	143	155
72	145	153
73	147	151
74	149	149
75	151	147
76	152	144
77	154	142
78	156	140
79	158	138
80	160	136
81	162	134
82	164	132
83	165	130
84	167	128
85	169	126
86	171	124
87	173	122
88	175	120
89	177	118
90	178	115
91	180	113
92	181	111
93	183	109
94	185	107
95	187	105
96	189	103
97	190	101
98	192	99
99	194	97
100	195	94
101	197	93
102	199	91
103	201	89
104	202	86
105	204	84
106	206	83
107	208	81
108	210	79
109	212	77
110	214	75
111	216	73
112	217	71
113	219	69
114	221	67
115	223	65
116	224	63
117	226	61
118	228	59
119	231	57
120	233	55
121	234	53
122	236	51
123	238	49
124	239	47
125	241	46
126	243	44
127	245	42
128	246	40
129	248	38
130	249	36
131	251	34
132	253	32
133	254	30
134	256	28
135	258	26
136	260	24
137	261	22
138	264	20
139	266	19
140	268	17
141	269	15
142	272	13
143	274	11
144	276	9
145	278	7
146	280	5
147	282	3
148	285	1
149	288	0
